Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2012-01-11,Gerrard penalty gives Liverpool lead,Maxwell completes transfer to PSG,Gordon facing Dakar disqualification,Sacked Bahrain GP staff reinstated,Tired Tsonga slumps to Kooyong defeat,Wozniacki out as Kvitova closes on world No. 1 spot,Burkino Faso cleared to play in Africa Cup of Nations,On the road: Barbados' twist on tennis,,
2012-01-12,Weather foils Schwartzel as McGrane and Elson lead,Ferrari's Alonso slams F1 testing rules,UK police to investigate Libya rendition claims,"New heart, new hope: Golfer Compton achieves PGA Tour dream",Champion Li ends Kvitova's Sydney bid for No. 1 spot,Kosovo gypsies living in 'toxic' camps,Man fatally shoots prosecutor during sentencing,,,
2012-01-13,Europe's road to financial crisis,Defiant Gordon wins 12th stage of Dakar Rally as Coma takes over bikes lead,Turkish police raid Kurdish targets,Rock leads the way in Joburg Open as champion Schwartzel struggles,Nadal and Federer drawn to meet in Australian Open semifinals,Rally row: Does the Dakar damage a delicate environment?,Suspect in Norway killings faces new sanity test,Azarenka downs defending champion Li in Sydney final,Duchess of York faces charges over Turkey children's home film,Shocking gay honor killing inspires movie
2012-01-14,Callejon fires late winner for Real Madrid,Peterhansel and Despres eye Dakar glory,Finch and Grace share lead at Joburg Open,Scholes on target as Man Utd beat Bolton,"Like a scene out of the film 'Titanic,' chaos consumed listing ship",French criminal probe launched into journalist's Syria death,Two survivors rescued from grounded cruise ship,Report: 6 killed after cruise ship runs aground off Italian coast,Turkish Cypriot leader Denktas dies,
2012-01-15,Messi double as Barcelona close gap,Milito goal opens up Serie A title race,What caused the cruise ship disaster?,Protesters gather for fourth straight day in Romania,Russian Mars probe crashes into Pacific,Arsenal slump to defeat at Swansea,Peterhansel seals 10th Dakar victory,Italian cruise ship survivors: Crew appeared helpless,Grace holds off late Elson challenge to win Joburg Open,"Cruise ship captain may have made 'significant' error, company says"
2012-01-16,"Duchess of York cancels U.S. trip, raises questions",Dzeko header enough to give City win,Part of NATO missile defense system goes live in Turkey,Austrian downgrade reflects Europe's complex web of problems,Defender Cahill completes Chelsea move,Opposition: More Romanian protests being planned,"Whales, sharks threatened by stricken cruise liner, says green group",Disaster at sea: Luxury cruise turns into nightmare,Federer shrugs off Nadal criticism to win Melbourne opener,"Hair today, Masters tomorrow: Wagner books Augusta spot with Hawaii win"
2012-01-17,Bruno Senna follows in uncle Ayrton's footsteps at Williams,Suspects in Dink murder acquitted of terrorism charges,Romanian deputy health minister reappointed; protests continue,Home hope Stosur crashes out early; Serena cruises in opener,Chemical accident injures 39 people in Germany,Turkey responds angrily to Perry remarks,Champion Djokovic backs calls for change in men's tennis,How to design a yacht fit for a Queen,Underwater scenes of the Costa Concordia wreckage,Trial begins for famous Spanish  judge
2012-01-18,Abidal pounces late as Barcelona edge 'El Clasico' over Real Madrid,Giglio: Tiny island bears witness to tragedy,World rally champion Loeb quick off the blocks in Monte Carlo,Occupy London protesters lose court eviction battle,Opposition protests set for Thursday in Romania,Francesco Schettino: Cruise ship captain in troubled waters,Giving it back: Els' off-course passions,Wozniacki caught short after victory,Nadal into third round as Federer walks it,Hungarian listed among cruise ship dead
2012-01-19,Bombs explode in Northern Ireland city,Inter defeat Genoa to reach last eight,Cruise ship's cook says captain ordered dinner after crash,Loeb extends Monte Carlo advantage,Colsaerts blasts opening 64 in Volvo Champions event,World Cup beer battle brewing between Brazil and FIFA,"Djokovic, Murray on course for semifinal showdown in Melbourne",Phone hacking victims awarded court payouts,Australian Open: Down Under's daunting tennis test,Serena cruises into last 32 with 500th career win
2012-01-20,Bayern lose at Moenchengladbach as Bundesliga resumes,Stoner urges Rossi to step up to the plate in 2012 season,Eight-time champion Loeb stretches lead in Monte Carlo Rally,Suspect of IRA splinter group convicted of murdering two British soldiers,UK revokes Iranian network's license,The 'indestructible legend' of the Monte Carlo rally,Clijsters faces Li in Aussie final rematch,Grace seizes last-minute opportunity to lead Volvo Golf Champions at halfway,African ambition: Tiny nations host football feast,Teen star Tomic earns last-16 clash with legend Federer
2012-01-21,Loeb nears sixth Monte Carlo Rally crown,Balboa goal stuns Libya in Africa Cup of Nations opener,Totti sets Serie A scoring record as Roma run riot,Schalke win lifts them level with Bayern,Misfiring Chelsea draw blank at Norwich,Grace and Colsaerts lead by one in South Africa,Djokovic to face Hewitt in last 16,Williams and Kvitova through to last 16,12th body found as Italian cruise ship search resumes,
2012-01-22,Ronaldo spot on for Real Madrid; Messi hat-trick sinks Malaga,Dominant Loeb makes it half a dozen wins in Monte Carlo,Drogba seals Ivory Coast victory; Manucho winner fires Angola,Croatian voters back bid to join European Union,Manchester clubs sink London rivals to move clear at summit,Grace holds off boyhood heroes Els and Goosen to win in George,Nadal and Federer march on in Melbourne,Bosnian Serb war criminal recaptured after years on the run,Italy cruise ship rescuers find 13th body,Serena Williams upset by unseeded Makarova in Melbourne
2012-01-23,Balotelli charged over Parker stamp,Joint hosts Gabon open with victory,FIA bans new Formula One technology; Raikkonen makes on-track return,Mourinho - fans booing doesn't bother me,Japan's Nishikori makes history at Australian Open,How will Armenian genocide bill affect France-Turkey relations?,Wilson overcomes weather to win fifth PGA Tour title,"Winston Churchill: Statesman, Sunday painter and talent scout",2 more bodies recovered from Costa Concordia,New European Union sanctions target Iran nuclear program
2012-01-24,Players back Real Madrid coach Mourinho as exit rumors grow,Mensah off as Ghana beat Botswana; Traore fires Mali past Guinea,Woods primed for 2012 challenge,Federer faces Nadal in semi showdown,Australia imposes oil sanctions on Iran over nuclear program,Turkey blasts French passage of genocide law,"Spanish judge on trial, accused of abusing authority",Huge solar storm to shower Earth with radioactive particles,Champion Clijsters ousts No. 1 Wozniacki,Costa Concordia rescuers find 16th body
2012-01-25,Barcelona hold on to knock 10-man Real Madrid out of Spanish Cup,Equatorial Guinea seal last eight berth as Senegal crash out,McIlroy relishing his battle with Woods and Donald in Abu Dhabi,How do you solve a problem like Maria? Tennis' battle with grunters,Djokovic downplays injury scare ahead of Murray rematch,Arachnophobe creates cape woven from spider silk,Cruise ship captain admits 'mistake' in deposition,Rivals reunited: Kvitova faces Sharapova rematch in Melbourne semifinals,Famous Greek film director Theo Angelopoulos dies in road accident,Children affected? Algerian footballers seek 'doping' answers
2012-01-26,Poles protest bill on intellectual property rights,Ivory Coast beat Burkina Faso to qualify for African Cup of Nations quarters,Cameron: Britain no closer to joining European fiscal treaty,Gifts given to former Romanian dictator up for auction,Court blocks 'Mein Kampf' excerpts from being published,Snatching defeat from the jaws of victory: Bayern's PR own goal,Tension too much for tennis star's pregnant wife,McIlroy eclipses Woods and Donald to take share of Abu Dhabi lead,Nadal overcomes Federer in semifinal,Occupy and Davos: Polar opposites or future partners?
2012-01-27,Van der Vaart scores only goal as Tottenham edge past Watford,Tunisia and co-hosts Gabon advance with dramatic late wins,PSG complete Alex signing but rule out January move for Tevez,Can faded stars stimulate Indian football?,Hermitage sets up mini-museum in Madrid's Prado,Woods steps up challenge in Abu Dhabi to trail leader Olesen by two shots,Spanish unemployment hits almost 23%,Breast implant scandal: What went wrong?,"Crooked guard led to aid workers' kidnapping in Somalia, group says",Grand slam designs: Maria Sharapova's fashion statement
2012-01-28,Real open up seven-point gap on Barca,Guinea thrash 10-man Botswana to keep Africa Cup hopes alive,Liverpool send Man Utd crashing out of FA Cup,Bayern back on track with Wolfsburg win,Woods grabs share of lead in Abu Dhabi,"Spanish airline Spanair goes bust, strands passengers",Woman's body found in wrecked Italy cruise ship,Karzai and Cameron pledge to work toward Afghan future,Azarenka romps to victory at Australian Open,"Police make arrests, raid offices of News International"
2012-01-29,Ibrahimovic scores as Milan keep pace in Serie A title race,"Scalfaro, Italian president in 1990s, dies at age 93",Libya go out of Africa Cup of Nations despite beating Senegal,Arsenal hit back to win all-Premiership FA Cup tie,Cruise victim may have saved older man,Arrest spotlights racism concerns in English soccer,Djokovic beats Nadal in marathon classic to win Australian Open,Rock upstages Woods to capture Abu Dhabi Golf Championship,,
2012-01-30,Sudan join Ivory Coast in Africa Cup of Nations quarterfinals,Norwegian court convicts three in attack plot connected to Mohammed cartoons,Woods pleased with progress despite missing out in Abu Dhabi,Poland's new national soccer stadium opens with a bang,Romania's former prime minister sentenced to prison for corruption,Soccer lawmakers urged to review headscarf ban,Djokovic eyes French Open glory after 'greatest' win,Belgium strikes disrupt travel as EU summit begins,,
2012-01-31,Gibson fires Everton to win over Man City,Gabon pip Tunisia to top spot in Group C,Ex-UK bank boss stripped of knighthood,U.S. women's pro soccer league suspended amid legal dispute,Europe shivers in grip of deadly cold spell,Experts advise ending Concordia underwater salvage,Deadline-day transfers: A football agent's inside story,Spain's most famous judge takes stand,Green walls create new urban jungles,
2012-02-01,Milan lose ground in Serie A title race; Barcelona held in Copa del Rey,U.S. court backs Spain over $500M sea treasure,Mali qualifies behind Ghana after 2-1 win over Botswana,Flour thrown at French presidential contender Hollande,Museum discovers earliest copy of 'Mona Lisa',Golf greats compete to design 2016 Olympic course,Former No. 1 Wozniacki fires coach after two months,Survivor says Concordia captain made a 'tragic error',Europe death toll rises in big freeze,Football transfer dealings plummet in January window
2012-02-02,Police accused of ignorance as Egyptian soccer faces up to bleak future,Heavy snow puts brakes on unveiling of new Ferrari F1 car,Daly tames 'brutal' conditions in Qatar as Fernandez-Castaño leads,Underwater search of Italy cruise ship halted,Prince William deployed to Falkland Islands,More deaths amid Europe's big freeze,,,,
2012-02-03,Borussia Dortmund go top after battling victory at Nuremberg,Alonso eyes glory as Ferrari unveil radical new design,No. 1 Azarenka to face Williams sisters in Fed Cup opener,Daly left at top of leaderboard after gales see Qatar Masters cut to 54 holes,FA takes England captaincy from Terry,Europe's cold snap claims more lives,UK Cabinet minister resigns over speeding case,Saving Van Gogh's home from dereliction,,
2012-02-04,Ramos strike maintains Real's 7-point lead,Dueling mass rallies held in Moscow,Zambia and Ivory Coast cruise into semis,Bayern drop to second after Hamburg draw,Aguero and Dzeko fire Man City to victory,Sharapova and Kuznetsova put Russia in charge against Spain,Lawrie puts down marker at Qatar Masters,,,
2012-02-05,Mali and Ghana through to semifinals,Kvitova guides Czechs into Fed semis,United fight back to earn stunning draw,Roma thrash Inter as top two both draw,Lawrie claims four-stroke Qatar victory,Finland's former finance minister victorious in presidential election,Europe's cold snap spreads west,,,
2012-02-06,Suarez fails to inspire as Liverpool are held by Tottenham,Djokovic named Laureus Sportsman of the Year for 2011,Spain's Socialist Party elects new leader,F1 champion Vettel: 'Red Bull out to dominate again',British court grants bail to radical cleric,Stanley banishes PGA Tour ghosts with first win,Eastern Europe scrambles to deal with brutal winter,"Romania's PM resigns amid protests, winter deaths",Italy cruise ship captain faces hearing over house arrest,Queen Elizabeth celebrates 60 years on throne
2012-02-07,Blatter reveals donation to families of Egypt victims,"Williams, Toro Rosso unveil 2012 cars as F1's pre-season tests begin",Injuries force out both Li and Jankovic,"Italian cruise ship captain must remain under house arrest, judge rules",A tale of one city: Dickensian London,German authorities arrest 2 alleged Syrian spies,Morocco's trailblazing female golfer is going for Olympic gold,Eastern Europe scrambles to deal with brutal winter,Greek unions set to strike over new austerity demands,Quiz: Test your aviation knowledge
2012-02-08,Russia says drillers reach long-buried Antarctic lake,Barcelona through to Spanish Cup final,Zambia and Ivory Coast through to final,Capello resigns as England manager,The boom of the Turkish art market,Novak - I can win the 'golden slam',Tiger Woods: I feel explosive again,What will Airbus A380 fault mean for passengers and airlines?,Romanian PM appoints young ministers in new government,"Most Ukraine cold deaths alcohol-related, minister says"
2012-02-09,Romania's appointed government passes Parliament vote,Kozak seals comeback for 10-man Lazio; Siena edge ahead of Napoli,Home favorite Bartoli into last eight,9 men jailed in UK on terror plot charges,Cabrera-Bello upstages stars in Dubai,Horner hails Red Bull's 'grounded superstar' Vettel,FA: England job 'open to foreigners',Court suspends Spain's most famous judge,"Journalist hacked Paul McCartney voice mail, ex testifies",Football bucks the trend as Europe's richest get richer
2012-02-10,Isner beats Federer as U.S. take commanding Davis Cup lead,Top seed Sharapova crashes out of WTA tournament in Paris,Man gets life term for shooting that killed 2 U.S. airmen in Germany,Spain's fury at French sporting drug slurs,Court: Norway's Breivik to undergo constant psychiatric scrutiny,McIlroy and Bjorn lead the way as Kaymer gives chase after ace,Ice grips Europe's waterways as deadly cold lingers,Woods' upturn continues at Pebble Beach,Violence erupts as Greece ponders tough terms for new bailout,
2012-02-11,Mali claim third place in Africa Cup of Nations,Barcelona's title hopes fade with Osasuna defeat,Federer loses again as Swiss crash out to U.S.,Kagawa keeps Dortmund in driving seat,Suarez snubs Evra handshake as Utd go top,Westwood claims lead at Dubai Desert Classic,Authorities: Man wanted in killing of Serbian prime minister captured in Spain,Sun newspaper staff among eight arrested in police probe,Greece lawmakers debate bailout deal as crisis simmers,
2012-02-12,Ronaldo hat-trick lifts Real Madrid 10 points clear in Spain,Zambia win Africa Cup of Nations after dramatic penalty shootout,Man City return to top of English Premier League with win at Villa,Kerber emulates Graf with Paris Open triumph,Liverpool's Suarez apologizes for Evra handshake snub,Cabrera-Bello upstages big names to win in Dubai; Tiger in the hunt in California,"Amid clashes, Greek Parliament approves austerity measures",,,
2012-02-13,Italian court hands down 16-year terms in asbestos case,Napoli end win drought; Real Sociedad sink Sevilla,Ivanovic defeats Suarez Navarro but Pavlyuchenko stung in Qatar,African champions Zambia dedicate victory to Kalusha Bwalya,Scottish champions Glasgow Rangers prepare for administration,Mancini opens the door for Tevez return,Radical cleric released from UK jail,Court drops case against Spain's best-known judge,Rupert Murdoch faces U.S. heat on phone hacking,Suspect arrested in death of U.S. student in Spain
2012-02-14,Troicki safely through first round in Rotterdam,Sanchez brace gives Barcelona edge over Leverkusen,BIC: 'Bahrain Grand Prix will go ahead',Greek reform package means years of pain,Italian prosecutors appeal decision to overturn Amanda Knox conviction,"Swiss man to appeal in Italian asbestos case, lawyer says",British minister heads to Jordan for Abu Qatada talks,15-love: Top tennis romances,Moody's threatens to downgrade UK,
2012-02-15,Robinho brace helps Milan thrash Arsenal,Federer eases past Mahut in Rotterdam,Sarkozy announces French presidential re-election bid,'National hero' Djokovic given Serbia's highest honor,Prosecutors seek jail time for Berlusconi,"Snow damages Colosseum, Medieval churches in Italy",Tiger seeks 'home' success as he announces PGA Tour triple-header,Wahl: Suarez saga is harming Liverpool's global brand,,
2012-02-16,Manchester clubs enjoy winning start to Europa League campaign,Ambitious Azarenka downplays the pressure of being No. 1,Ex-World Cup ref known as 'golden whistle' jailed for match fixing,The secret to beating Tiger? Ask Butch,Monfils pulls out as Roddick battles through in San Jose,,,,,
2012-02-17,Ranieri apologizes after Inter Milan are humbled by Bologna,Departing FIFA security chief: Fight against fixing will go on,Federer downs Nieminen to make Rotterdam semis,Azarenka retains perfect record in 2012,Caterham replace Trulli with Petrov,Veteran Dutch coach Hiddink takes reins at Russian club Anzhi,Manchester City complain to UEFA over racist abuse of Balotelli,Officials: Dutch prince severely injured in Austrian avalanche,Arrests made in Italy after discovery of $6 trillion in fake U.S. bonds,"UK, Jordan hold 'useful' talks over Abu Qatada"
2012-02-18,Azarenka shrugs off injury to reach Qatar final,Federer fights off Davydenko to reach Rotterdam final,Benzema brace helps Madrid stretch lead,Grosskreutz does the trick for Dortmund,Mickelson retains lead at Northern Trust Open,Pope appoints 22 new cardinals,,,,
2012-02-19,Suarez on target as Liverpool make FA Cup last eight,Messi scores four as Barcelona rout Valencia; AC Milan cruise,Azarenka stops Stosur in Qatar to claim third title of 2012,Federer downs del Potro to capture second Rotterdam title,Unions protest Spanish labor reforms,Manhunt launched in dramatic Greek museum robbery,,,,
2012-02-20,Villas Boas - Chelsea owners backing me in private,Raonic on the rise after repeat San Jose success,Haas skips friend's wedding to win fourth PGA Tour title in playoff,The Sun on Sunday to launch next week,,,,,,
2012-02-21,Lavezzi nets double as Napoli take first leg advantage,Real Madrid left stunned by last-gasp CSKA equalizer,Fernandez-Castano in confident mood ahead of Woods showdown,Schumacher impressed by Mercedes' 'special' new F1 car,Spitting mad: Golf star's antics spark Twitter campaign,Prado Museum displays unique copy of the 'Mona Lisa',Strauss-Kahn questioned over alleged prostitution ring,,,
2012-02-22,Woods survives scare to battle into second round of WGC World Match Play,Bayern and Inter beaten in European Champions League,Strauss-Kahn released after 2 days of questioning,Man City reach last 16 of Europa League as Tevez apologizes to Mancini,Costly terror trial ends with acquittals,World No.1 Azarenka quits Dubai to rest injured ankle,8 bodies found on doomed Italian ship; 7 employees investigated,Cameron hosts talks on football racism,Occupy London loses eviction fight,
2012-02-23,Watney knocks out Woods at WGC Match Play in Arizona,Manchester United join neighbors City in last 16 of Europa League,F1 champion Vettel: Red Bull will be slower in 2012,Germany asked to stop castrating sex criminals,Wozniacki wins battle of former World No.1's in Dubai,Defending champion Roddick dumped out as Raonic's rise continues,Racism in football: 'It's not black and white',Somali militants target addicts in UK's 'khat cafes',Sweden's Crown Princess gives birth to baby girl,
2012-02-24,Moenchengladbach waste chance to draw level in Bundesliga title race,Dutch prince suffers brain damage after avalanche,Defending champion Wozniacki beaten in semifinals in Dubai,Will J.K. Rowling net wizard profits from switch to crime?,Ancelotti questions Chelsea changes,King's son-in-law to testify in fraud scandal,Luxuriating in 'Old World' Vienna,,,
2012-02-25,Controversy as Juve snatch Milan draw,Bender double puts Bayer Leverkusen fifth in Bundesliga,Vital victories for Man City and Chelsea,Radwanska reaches new heights with Dubai success,Sunken treasure finally arrives in Spain,Ruling favors Berlusconi in corruption trial,King's son-in-law testifies in fraud scandal,Westwood and McIlroy stay on course to claim world No. 1 spot,,
2012-02-26,Mahan wins WGC Match Play title to deny McIlroy No. 1 spot,Ronaldo backheel keeps Real 10 points clear in Spain,Ribery inspires Bayern but Dortmund remain clear,Del Potro too strong for Llodra in Marseille final,Arsenal fight back to win sensational north London derby,Murdoch launches paper to replace disgraced tabloid,McIlroy faces Westwood in WGC semis as battle for No. 1 heats up,,,
2012-02-27,Arsenal back coach Wenger as club post six-month profits of $78m,A family affair in Dubai but mixed results for the Djokovic brothers,Webber vows to challenge champion teammate Vettel in 2012,"How a silent, black-and-white French film won big at the Oscars","Fire leaves Costa cruise ship adrift, coast guard says",Former Spanish judge acquitted of abusing power,Can dramatic cup success revive Liverpool's fortunes?,Murdoch pays Charlotte Church nearly $1 million over hacking,Daytona 500 rolling after rain delay,Russian TV claims Putin assassination plot foiled
2012-02-28,Last-gasp own goal hands Brazil friendly victory over Bosnia,Act now to prevent 'digital caste system' says Google's Schmidt,Rummenigge hails 'major breakthrough' as UEFA reduce international matches,Federer defeats Llodra in quest for fifth Dubai title; Murray labors to victory,French court overturns Armenian genocide denial law,Putting the pride back into PSG: Qatari owners aim to be world's best,London police lent horse to Murdoch exec Rebekah Brooks,Russian F1 team Marussia halted by crash-test failure,Cash for cups? Qatar's sporting influence spreads across the globe,Northern Ireland's Paisley released from hospital
2012-02-29,Robben double gives Dutch win over experimental England side,South Korea beat Kuwait to advance with underdogs Lebanon,Ancelotti: PSG can rival Europe's best,Djokovic sets up quarterfinal clash with fellow Serb Tipsarevic in Dubai,Vladimir Putin: Popular but polarizing figure in Russia,Golf gadgets to improve your game,James Murdoch: Son of the Sun king,In the Navy? Tiger Woods' 'secret dream',Putin vies for leadership of a changed Russia,Disabled Italian cruise ship slowly nearing Seychelles
2012-03-01,Defending champion Djokovic to face Murray in Dubai semifinals,Website lets world admire 'Ghent Altarpiece' in 100 billion pixels,McIlroy makes fast start in new bid to claim world No. 1 ranking,French football's $56M man: PSG poster boy Pastore,F1 veteran Barrichello signs up for IndyCar series,Work and play - Brazil's samba star Neymar has it all,Blowing in the wind? Trump threatens to ditch $1B Scottish golf resort,"Remote-controlled blast hits Istanbul police officers, injuring 16",Disabled cruise ship reaches Seychelles,
2012-03-02,"New Orleans Saints had bounty program to injure opposing players, NFL says",McIlroy hunts leaders as world No.1 bid gathers pace,Williams puts daughter on board as he approaches F1 twilight,Murray ends No. 1 Djokovic's Dubai reign,FIFA to probe Bahrain's 10-0 World Cup qualifying win,Q&A: Russian presidential election explained,,,,
2012-03-03,Classic McIlroy on course for top spot,Putin poised to retake Russian presidency,10-man Barca rally to see off Sporting; Ibrahimovic fires rapid hat-trick for Milan,"Judge bars consumer, environmental groups in Italian cruise ship inquiry",Dortmund move 7 points clear in title race,Pressure mounts on Villas-Boas as Chelsea crash at West Brom,Fabulous Federer claims fifth Dubai title,Goal-line technology enters final testing,'Russia's Paris Hilton' goes political,
2012-03-04,Real rout Espanyol to restore 10-point lead in La Liga,McIlroy on top of the world after Honda Classic victory,Young double secures vital Man United win at Tottenham,Prince Harry visits The Bahamas,900-year-old saint's heart vanishes from cathedral,Chelsea sack manager Villas-Boas after less than a year in charge,Rescuers search for survivors after train crash kills 16 in Poland,Putin poised to retake Russian presidency,"Passenger trains collide in Poland, killing at least 8",
2012-03-05,Chelsea job 'hell' says former manager Scolari after Villas-Boas exit,New No.1 McIlroy turns his attention to Augusta after Honda Classic triumph,What does Vladimir Putin's return mean for Russia?,Ferrari admit they are off pace heading into season-opener in Australia,Observers slam Russian vote as Putin declares victory,,,,,
2012-03-06,Chelsea win first match since sacking of Villas-Boas,AC Milan advance despite brave Arsenal fightback at Emirates,Suicide bomber kills 4 officers at police post in southwest Russia,Minnows HRT and Marussia unveil cars for 2012 F1 season,Love match. Rory helps Caroline at MSG tennis exhibition against Maria Sharapova,A FIFA first: Football's transfer figures released,Power glitch leaves passengers stuck on Eurostar,,,
2012-03-07,Messi hits record five as Barcelona rout Bayer Leverkusen in Nou Camp,Tottenham survive early scare to reach quarterfinals of FA Cup,Russian bombing is latest in spate of violence,Dutch euthanasia clinic offers mobile service,Golf legends left disappointed in battle to design Olympic course in Rio,"'Iran is not telling us everything,' U.N. atomic agency chief says",Petrov eyes improvement with Caterham ahead of Russia's F1 bow,Founder of French breast implant firm linked to health scare jailed,Norway mass murder suspect charged,"Too many immigrants in France, Sarkozy says"
2012-03-08,McIlroy struggles to a 73 as Scott and Dufner lead at Doral,Manchester clubs beaten on night of Europa League shocks,International authorities bust online pedophile network,Palestine: A national soccer team without a nation,Federer hails 'wonderful friend' Ljubicic ahead of retirement,Court rules insurers don't have to pay for Viagra,Female driver De Villota joins F1 ranks,"UK identifies 6 soldiers missing, feared dead in Afghanistan",EU kills Kill Bill-style video over racism complaints,World powers urge inspector access to Iranian military site
2012-03-09,Students protest Strauss-Kahn's speech at UK university,Bubba Watson in driving seat at WGC-Cadillac,Inter end drought with win over Chievo,Red Bull chief Horner: 'Vettel can still improve',Nadal doubles up in quest for fitness,Blatter rejects European council's call for FIFA election probe,Spain's 2 big unions call for general strike March 29,,,
2012-03-10,Watson continues to set the pace as McIlroy and Woods give chase,Ronaldo double as Real Madrid win five-goal thriller at Betis,Drogba reaches milestone as Chelsea improve Champions League hopes,Gomez hat-trick as Bayern hit seven against Hoffenheim,Spain to mark eighth anniversary of Madrid train bombings,,,,,
2012-03-11,Milan go four points clear in Serie A,Injury forces Tiger Woods to withdraw from tournament,Messi reaches 50 goals in Barca win,Reports: Italian hostage shot four times during failed rescue,Rooney double puts Manchester United top of table,Unions protest as Spain marks eighth anniversary of Madrid train bombings,Murray sent crashing in Indian Wells,,,
2012-03-12,Last-gasp Vermaelen goal earns Arsenal crucial win,"Imam killed in Belgian mosque attack, police say",Egyptian Premier League is canceled,Da Vinci's lost masterpiece may be found,Ecclestone tells F1 teams to cut spending,Teixeira quits as Brazilian football chief,Federer battles through as illness strikes at Indian Wells,Erotic ebook surges up best seller list,,
2012-03-13,2010 champions Inter Milan exit Champions League; Bayern rout Basel,Beckham sets sights on champions LA Galaxy dominating Major League Soccer,Pit lane to football pitch: Fernandes' plans for sporting success,No. 1 Djokovic through as U.S. hopes fade at Indian Wells,"Murdoch insider Brooks arrested in hacking probe, police confirm",Marine Le Pen: Right-wing wild card in French election,Woods' Masters hopes raised after medical check,France's Sarkozy denies taking money from Gadhafi,,
